iso3,country,gdp_pc_usd,gdp_year,source
AFG,Afghanistan,413.76,2023,World Bank NY.GDP.PCAP.CD
ALB,Albania,11377.78,2024,World Bank NY.GDP.PCAP.CD
DZA,Algeria,5752.99,2024,World Bank NY.GDP.PCAP.CD
AGO,Angola,2665.87,2024,World Bank NY.GDP.PCAP.CD
ATG,Antigua and Barbuda,23542.45,2024,World Bank NY.GDP.PCAP.CD
ARG,Argentina,13969.78,2024,World Bank NY.GDP.PCAP.CD
ARM,Armenia,8556.21,2024,World Bank NY.GDP.PCAP.CD
ABW,Aruba,39498.59,2024,World Bank NY.GDP.PCAP.CD
AUS,Australia,64603.99,2024,World Bank NY.GDP.PCAP.CD
AUT,Austria,58268.88,2024,World Bank NY.GDP.PCAP.CD
AZE,Azerbaijan,7283.85,2024,World Bank NY.GDP.PCAP.CD
BHS,Bahamas,39455.45,2024,World Bank NY.GDP.PCAP.CD
BHR,Bahrain,29653.57,2024,World Bank NY.GDP.PCAP.CD
BGD,Bangladesh,2593.42,2024,World Bank NY.GDP.PCAP.CD
BRB,Barbados,26544.87,2024,World Bank NY.GDP.PCAP.CD
BLR,Belarus,8317.63,2024,World Bank NY.GDP.PCAP.CD
BEL,Belgium,56614.57,2024,World Bank NY.GDP.PCAP.CD
BEN,Benin,1485.38,2024,World Bank NY.GDP.PCAP.CD
BTN,Bhutan,3831.33,2023,World Bank NY.GDP.PCAP.CD
BOL,Bolivia (Plurinational State of),4421.17,2024,World Bank NY.GDP.PCAP.CD
BIH,Bosnia and Herzegovina,9358.79,2024,World Bank NY.GDP.PCAP.CD
BWA,Botswana,7695.75,2024,World Bank NY.GDP.PCAP.CD
BRA,Brazil,10310.55,2024,World Bank NY.GDP.PCAP.CD
BRN,Brunei Darussalam,33153.47,2024,World Bank NY.GDP.PCAP.CD
BGR,Bulgaria,17596.02,2024,World Bank NY.GDP.PCAP.CD
BFA,Burkina Faso,981.99,2024,World Bank NY.GDP.PCAP.CD
BDI,Burundi,219.42,2024,World Bank NY.GDP.PCAP.CD
CPV,Cabo Verde,5192.48,2024,World Bank NY.GDP.PCAP.CD
KHM,Cambodia,2627.88,2024,World Bank NY.GDP.PCAP.CD
CMR,Cameroon,1830.01,2024,World Bank NY.GDP.PCAP.CD
CAN,Canada,54340.35,2024,World Bank NY.GDP.PCAP.CD
CYM,Cayman Islands,99143.52,2023,World Bank NY.GDP.PCAP.CD
CAF,Central African Rep.,516.16,2024,World Bank NY.GDP.PCAP.CD
TCD,Chad,961.56,2024,World Bank NY.GDP.PCAP.CD
CHL,Chile,16709.89,2024,World Bank NY.GDP.PCAP.CD
CHN,China,13303.15,2024,World Bank NY.GDP.PCAP.CD
HKG,"China, Hong Kong SAR",54074.69,2024,World Bank NY.GDP.PCAP.CD
MAC,"China, Macao SAR",72004.74,2024,World Bank NY.GDP.PCAP.CD
COL,Colombia,7919.21,2024,World Bank NY.GDP.PCAP.CD
COM,Comoros,1662.76,2024,World Bank NY.GDP.PCAP.CD
COG,Congo,2482.25,2024,World Bank NY.GDP.PCAP.CD
CRI,Costa Rica,18587.15,2024,World Bank NY.GDP.PCAP.CD
CIV,Cote d'Ivoire,2727.89,2024,World Bank NY.GDP.PCAP.CD
HRV,Croatia,24050.44,2024,World Bank NY.GDP.PCAP.CD
CUB,Cuba,9605.28,2020,World Bank NY.GDP.PCAP.CD
CUW,Curacao ,22832.9,2024,World Bank NY.GDP.PCAP.CD
CYP,Cyprus,38674.29,2024,World Bank NY.GDP.PCAP.CD
CZE,Czechia,31823.31,2024,World Bank NY.GDP.PCAP.CD
COD,Dem. Rep. of the Congo,649.38,2024,World Bank NY.GDP.PCAP.CD
DNK,Denmark,71026.48,2024,World Bank NY.GDP.PCAP.CD
DJI,Djibouti,3552.72,2024,World Bank NY.GDP.PCAP.CD
DMA,Dominica,10405.28,2024,World Bank NY.GDP.PCAP.CD
DOM,Dominican Rep.,10875.66,2024,World Bank NY.GDP.PCAP.CD
ECU,Ecuador,6874.71,2024,World Bank NY.GDP.PCAP.CD
EGY,Egypt,3338.47,2024,World Bank NY.GDP.PCAP.CD
SLV,El Salvador,5579.66,2024,World Bank NY.GDP.PCAP.CD
GNQ,Equatorial Guinea,6745.4,2024,World Bank NY.GDP.PCAP.CD
ERI,Eritrea,688.68,2011,World Bank NY.GDP.PCAP.CD
EST,Estonia,31428.35,2024,World Bank NY.GDP.PCAP.CD
SWZ,Eswatini,3909.56,2024,World Bank NY.GDP.PCAP.CD
ETH,Ethiopia,1133.88,2024,World Bank NY.GDP.PCAP.CD
FJI,Fiji,6425.74,2024,World Bank NY.GDP.PCAP.CD
FIN,Finland,53149.77,2024,World Bank NY.GDP.PCAP.CD
FRA,France,46103.08,2024,World Bank NY.GDP.PCAP.CD
GAB,Gabon,8230.04,2024,World Bank NY.GDP.PCAP.CD
GMB,Gambia,871.34,2024,World Bank NY.GDP.PCAP.CD
GEO,Georgia,9241.49,2024,World Bank NY.GDP.PCAP.CD
DEU,Germany,56103.73,2024,World Bank NY.GDP.PCAP.CD
GHA,Ghana,2390.77,2024,World Bank NY.GDP.PCAP.CD
GRC,Greece,24626.15,2024,World Bank NY.GDP.PCAP.CD
GRD,Grenada,11705.09,2024,World Bank NY.GDP.PCAP.CD
GTM,Guatemala,6150.03,2024,World Bank NY.GDP.PCAP.CD
GIN,Guinea,1694.95,2024,World Bank NY.GDP.PCAP.CD
GNB,Guinea-Bissau,1007.74,2024,World Bank NY.GDP.PCAP.CD
GUY,Guyana,29675.24,2024,World Bank NY.GDP.PCAP.CD
HTI,Haiti,2142.62,2024,World Bank NY.GDP.PCAP.CD
HND,Honduras,3426.43,2024,World Bank NY.GDP.PCAP.CD
HUN,Hungary,23292.33,2024,World Bank NY.GDP.PCAP.CD
ISL,Iceland,86040.53,2024,World Bank NY.GDP.PCAP.CD
IND,India,2694.74,2024,World Bank NY.GDP.PCAP.CD
IDN,Indonesia,4925.43,2024,World Bank NY.GDP.PCAP.CD
IRN,Iran (Islamic Rep. of),5190.17,2024,World Bank NY.GDP.PCAP.CD
IRQ,Iraq,6073.61,2024,World Bank NY.GDP.PCAP.CD
IRL,Ireland,112894.95,2024,World Bank NY.GDP.PCAP.CD
ISR,Israel,54176.68,2024,World Bank NY.GDP.PCAP.CD
ITA,Italy,40385.34,2024,World Bank NY.GDP.PCAP.CD
JAM,Jamaica,7753.8,2024,World Bank NY.GDP.PCAP.CD
JPN,Japan,32487.08,2024,World Bank NY.GDP.PCAP.CD
JOR,Jordan,4618.1,2024,World Bank NY.GDP.PCAP.CD
KAZ,Kazakhstan,14154.63,2024,World Bank NY.GDP.PCAP.CD
KEN,Kenya,2132.43,2024,World Bank NY.GDP.PCAP.CD
KWT,Kuwait,32717.72,2024,World Bank NY.GDP.PCAP.CD
KGZ,Kyrgyzstan,2420.19,2024,World Bank NY.GDP.PCAP.CD
LAO,Lao People's Dem. Rep.,2123.98,2024,World Bank NY.GDP.PCAP.CD
LVA,Latvia,23409.08,2024,World Bank NY.GDP.PCAP.CD
LBN,Lebanon,3477.72,2023,World Bank NY.GDP.PCAP.CD
LSO,Lesotho,971.91,2024,World Bank NY.GDP.PCAP.CD
LBR,Liberia,851.5,2024,World Bank NY.GDP.PCAP.CD
LBY,Libya,6569.16,2024,World Bank NY.GDP.PCAP.CD
LIE,Liechtenstein,206780.59,2023,World Bank NY.GDP.PCAP.CD
LTU,Lithuania,29384.02,2024,World Bank NY.GDP.PCAP.CD
LUX,Luxembourg,137781.68,2024,World Bank NY.GDP.PCAP.CD
MDG,Madagascar,544.99,2024,World Bank NY.GDP.PCAP.CD
MWI,Malawi,522.57,2024,World Bank NY.GDP.PCAP.CD
MYS,Malaysia,11874.43,2024,World Bank NY.GDP.PCAP.CD
MLI,Mali,1094.62,2024,World Bank NY.GDP.PCAP.CD
MLT,Malta,43898.58,2024,World Bank NY.GDP.PCAP.CD
MRT,Mauritania,2110.12,2024,World Bank NY.GDP.PCAP.CD
MUS,Mauritius,11990.78,2024,World Bank NY.GDP.PCAP.CD
MEX,Mexico,14185.78,2024,World Bank NY.GDP.PCAP.CD
FSM,Micronesia (Federated States of),4166.0,2024,World Bank NY.GDP.PCAP.CD
MCO,Monaco,288001.43,2024,World Bank NY.GDP.PCAP.CD
MNG,Mongolia,6750.63,2024,World Bank NY.GDP.PCAP.CD
MNE,Montenegro,13263.33,2024,World Bank NY.GDP.PCAP.CD
MAR,Morocco,4153.19,2024,World Bank NY.GDP.PCAP.CD
MOZ,Mozambique,656.78,2024,World Bank NY.GDP.PCAP.CD
MMR,Myanmar,1359.05,2024,World Bank NY.GDP.PCAP.CD
NAM,Namibia,4413.13,2024,World Bank NY.GDP.PCAP.CD
NRU,Nauru,13609.16,2024,World Bank NY.GDP.PCAP.CD
NPL,Nepal,1447.31,2024,World Bank NY.GDP.PCAP.CD
NLD,Netherlands (Kingdom of the),67520.42,2024,World Bank NY.GDP.PCAP.CD
NZL,New Zealand,49205.18,2024,World Bank NY.GDP.PCAP.CD
NIC,Nicaragua,2847.54,2024,World Bank NY.GDP.PCAP.CD
NER,Niger,735.27,2024,World Bank NY.GDP.PCAP.CD
NGA,Nigeria,1084.16,2024,World Bank NY.GDP.PCAP.CD
MKD,North Macedonia,9291.86,2024,World Bank NY.GDP.PCAP.CD
NOR,Norway,86785.43,2024,World Bank NY.GDP.PCAP.CD
OMN,Oman,20285.23,2024,World Bank NY.GDP.PCAP.CD
PAK,Pakistan,1478.77,2024,World Bank NY.GDP.PCAP.CD
PLW,Palau,15610.82,2023,World Bank NY.GDP.PCAP.CD
PAN,Panama,19161.22,2024,World Bank NY.GDP.PCAP.CD
PNG,Papua New Guinea,3006.71,2024,World Bank NY.GDP.PCAP.CD
PRY,Paraguay,6416.1,2024,World Bank NY.GDP.PCAP.CD
PER,Peru,8452.37,2024,World Bank NY.GDP.PCAP.CD
PHL,Philippines,3984.83,2024,World Bank NY.GDP.PCAP.CD
POL,Poland,25103.57,2024,World Bank NY.GDP.PCAP.CD
PRT,Portugal,29292.24,2024,World Bank NY.GDP.PCAP.CD
QAT,Qatar,76688.69,2024,World Bank NY.GDP.PCAP.CD
KOR,Rep. of Korea,36238.64,2024,World Bank NY.GDP.PCAP.CD
MDA,Rep. of Moldova,7576.2,2024,World Bank NY.GDP.PCAP.CD
ROU,Romania,20080.21,2024,World Bank NY.GDP.PCAP.CD
RUS,Russian Federation,14889.02,2024,World Bank NY.GDP.PCAP.CD
RWA,Rwanda,999.65,2024,World Bank NY.GDP.PCAP.CD
KNA,Saint Kitts and Nevis,23960.65,2024,World Bank NY.GDP.PCAP.CD
LCA,Saint Lucia,14181.63,2024,World Bank NY.GDP.PCAP.CD
VCT,Saint Vincent and the Grenadines,11501.23,2024,World Bank NY.GDP.PCAP.CD
WSM,Samoa,5392.88,2024,World Bank NY.GDP.PCAP.CD
SAU,Saudi Arabia,35121.66,2024,World Bank NY.GDP.PCAP.CD
SEN,Senegal,1773.22,2024,World Bank NY.GDP.PCAP.CD
SRB,Serbia and Kosovo: S/RES/1244 (1999),13679.21,2024,World Bank NY.GDP.PCAP.CD
SLE,Sierra Leone,806.65,2024,World Bank NY.GDP.PCAP.CD
SGP,Singapore,90674.07,2024,World Bank NY.GDP.PCAP.CD
SXM,Sint Maarten (Dutch part),41472.59,2024,World Bank NY.GDP.PCAP.CD
SVK,Slovakia,25992.67,2024,World Bank NY.GDP.PCAP.CD
SVN,Slovenia,34301.03,2024,World Bank NY.GDP.PCAP.CD
SLB,Solomon Islands,1933.56,2024,World Bank NY.GDP.PCAP.CD
SOM,Somalia,629.54,2024,World Bank NY.GDP.PCAP.CD
ZAF,South Africa,6267.19,2024,World Bank NY.GDP.PCAP.CD
SSD,South Sudan,1080.15,2015,World Bank NY.GDP.PCAP.CD
ESP,Spain,35326.77,2024,World Bank NY.GDP.PCAP.CD
LKA,Sri Lanka,4515.57,2024,World Bank NY.GDP.PCAP.CD
SDN,Sudan,984.61,2024,World Bank NY.GDP.PCAP.CD
SUR,Suriname,6961.79,2024,World Bank NY.GDP.PCAP.CD
SWE,Sweden,57117.49,2024,World Bank NY.GDP.PCAP.CD
CHE,Switzerland,103998.19,2024,World Bank NY.GDP.PCAP.CD
SYR,Syrian Arab Rep.,1051.67,2022,World Bank NY.GDP.PCAP.CD
TJK,Tajikistan,1341.2,2024,World Bank NY.GDP.PCAP.CD
THA,Thailand,7346.62,2024,World Bank NY.GDP.PCAP.CD
TLS,Timor-Leste,1331.97,2024,World Bank NY.GDP.PCAP.CD
TGO,Togo,1119.38,2024,World Bank NY.GDP.PCAP.CD
TTO,Trinidad and Tobago,18733.41,2024,World Bank NY.GDP.PCAP.CD
TUN,Tunisia,4181.14,2024,World Bank NY.GDP.PCAP.CD
TKM,Turkmenistan,6856.66,2024,World Bank NY.GDP.PCAP.CD
TCA,Turks and Caicos Islands,37506.78,2024,World Bank NY.GDP.PCAP.CD
TUR,Türkiye,15892.72,2024,World Bank NY.GDP.PCAP.CD
UGA,Uganda,1077.91,2024,World Bank NY.GDP.PCAP.CD
UKR,Ukraine,5389.47,2024,World Bank NY.GDP.PCAP.CD
ARE,United Arab Emirates,50273.51,2024,World Bank NY.GDP.PCAP.CD
GBR,United Kingdom of Great Britain and Northern Ireland,53246.37,2024,World Bank NY.GDP.PCAP.CD
TZA,United Rep. of Tanzania,1186.72,2024,World Bank NY.GDP.PCAP.CD
USA,United States of America,84534.04,2024,World Bank NY.GDP.PCAP.CD
URY,Uruguay,23906.51,2024,World Bank NY.GDP.PCAP.CD
UZB,Uzbekistan,3161.7,2024,World Bank NY.GDP.PCAP.CD
VUT,Vanuatu,3410.77,2024,World Bank NY.GDP.PCAP.CD
