iso3,country,population,pop_year,source
AFG,Afghanistan,42647492,2024,World Bank SP.POP.TOTL
ALB,Albania,2377128,2024,World Bank SP.POP.TOTL
DZA,Algeria,46814308,2024,World Bank SP.POP.TOTL
AGO,Angola,37885849,2024,World Bank SP.POP.TOTL
ATG,Antigua and Barbuda,93772,2024,World Bank SP.POP.TOTL
ARG,Argentina,45696159,2024,World Bank SP.POP.TOTL
ARM,Armenia,3033500,2024,World Bank SP.POP.TOTL
ABW,Aruba,107995,2024,World Bank SP.POP.TOTL
AUS,Australia,27196812,2024,World Bank SP.POP.TOTL
AUT,Austria,9177982,2024,World Bank SP.POP.TOTL
AZE,Azerbaijan,10202830,2024,World Bank SP.POP.TOTL
BHS,Bahamas,401283,2024,World Bank SP.POP.TOTL
BHR,Bahrain,1588670,2024,World Bank SP.POP.TOTL
BGD,Bangladesh,173562364,2024,World Bank SP.POP.TOTL
BRB,Barbados,282467,2024,World Bank SP.POP.TOTL
BLR,Belarus,9132629,2024,World Bank SP.POP.TOTL
BEL,Belgium,11858610,2024,World Bank SP.POP.TOTL
BLZ,Belize,417072,2024,World Bank SP.POP.TOTL
BEN,Benin,14462724,2024,World Bank SP.POP.TOTL
BTN,Bhutan,791524,2024,World Bank SP.POP.TOTL
BOL,Bolivia (Plurinational State of),12413315,2024,World Bank SP.POP.TOTL
BIH,Bosnia and Herzegovina,3164253,2024,World Bank SP.POP.TOTL
BWA,Botswana,2521139,2024,World Bank SP.POP.TOTL
BRA,Brazil,211998573,2024,World Bank SP.POP.TOTL
VGB,British Virgin Islands,39471,2024,World Bank SP.POP.TOTL
BRN,Brunei Darussalam,462721,2024,World Bank SP.POP.TOTL
BGR,Bulgaria,6441421,2024,World Bank SP.POP.TOTL
BFA,Burkina Faso,23548781,2024,World Bank SP.POP.TOTL
BDI,Burundi,14047786,2024,World Bank SP.POP.TOTL
CPV,Cabo Verde,524877,2024,World Bank SP.POP.TOTL
KHM,Cambodia,17638801,2024,World Bank SP.POP.TOTL
CMR,Cameroon,29123744,2024,World Bank SP.POP.TOTL
CAN,Canada,41288599,2024,World Bank SP.POP.TOTL
CYM,Cayman Islands,74457,2024,World Bank SP.POP.TOTL
CAF,Central African Rep.,5330690,2024,World Bank SP.POP.TOTL
TCD,Chad,20299123,2024,World Bank SP.POP.TOTL
CHL,Chile,19764771,2024,World Bank SP.POP.TOTL
CHN,China,1408975000,2024,World Bank SP.POP.TOTL
HKG,"China, Hong Kong SAR",7524100,2024,World Bank SP.POP.TOTL
MAC,"China, Macao SAR",687000,2024,World Bank SP.POP.TOTL
COL,Colombia,52886363,2024,World Bank SP.POP.TOTL
COM,Comoros,866628,2024,World Bank SP.POP.TOTL
COG,Congo,6332961,2024,World Bank SP.POP.TOTL
CRI,Costa Rica,5129910,2024,World Bank SP.POP.TOTL
CIV,Cote d'Ivoire,31934230,2024,World Bank SP.POP.TOTL
HRV,Croatia,3866200,2024,World Bank SP.POP.TOTL
CUB,Cuba,10979783,2024,World Bank SP.POP.TOTL
CUW,Curacao ,155967,2024,World Bank SP.POP.TOTL
CYP,Cyprus,1358282,2024,World Bank SP.POP.TOTL
CZE,Czechia,10905028,2024,World Bank SP.POP.TOTL
PRK,Dem. People's Rep. of Korea,26498823,2024,World Bank SP.POP.TOTL
COD,Dem. Rep. of the Congo,109276265,2024,World Bank SP.POP.TOTL
DNK,Denmark,5976992,2024,World Bank SP.POP.TOTL
DJI,Djibouti,1168722,2024,World Bank SP.POP.TOTL
DMA,Dominica,66205,2024,World Bank SP.POP.TOTL
DOM,Dominican Rep.,11427557,2024,World Bank SP.POP.TOTL
ECU,Ecuador,18135478,2024,World Bank SP.POP.TOTL
EGY,Egypt,116538258,2024,World Bank SP.POP.TOTL
SLV,El Salvador,6338193,2024,World Bank SP.POP.TOTL
GNQ,Equatorial Guinea,1892516,2024,World Bank SP.POP.TOTL
